tensor(3.3676, grad_fn=<DivBackward0>)
tensor(2.5588, grad_fn=<DivBackward0>)
tensor(3.5659, grad_fn=<DivBackward0>)
tensor(2.6180, grad_fn=<DivBackward0>)
tensor(4.2565, grad_fn=<DivBackward0>)
tensor(2.8994, grad_fn=<DivBackward0>)
tensor(3.8822, grad_fn=<DivBackward0>)
tensor(2.9925, grad_fn=<DivBackward0>)
tensor(3.5569, grad_fn=<DivBackward0>)
tensor(3.0415, grad_fn=<DivBackward0>)
tensor(3.6651, grad_fn=<DivBackward0>)
tensor(3.0768, grad_fn=<DivBackward0>)
tensor(3.6412, grad_fn=<DivBackward0>)
tensor(2.7413, grad_fn=<DivBackward0>)
tensor(3.0376, grad_fn=<DivBackward0>)
tensor(3.5185, grad_fn=<DivBackward0>)
tensor(3.8656, grad_fn=<DivBackward0>)
tensor(3.1600, grad_fn=<DivBackward0>)
tensor(2.4179, grad_fn=<DivBackward0>)
tensor(2.9133, grad_fn=<DivBackward0>)
tensor(2.5544, grad_fn=<DivBackward0>)
tensor(2.8768, grad_fn=<DivBackward0>)
tensor(2.5703, grad_fn=<DivBackward0>)
tensor(2.5380, grad_fn=<DivBackward0>)
tensor(3.0201, grad_fn=<DivBackward0>)
tensor(3.2091, grad_fn=<DivBackward0>)
tensor(3.0461, grad_fn=<DivBackward0>)
tensor(3.7049, grad_fn=<DivBackward0>)
tensor(2.7984, grad_fn=<DivBackward0>)
tensor(3.0930, grad_fn=<DivBackward0>)
tensor(2.2794, grad_fn=<DivBackward0>)
tensor(3.0670, grad_fn=<DivBackward0>)
tensor(2.9422, grad_fn=<DivBackward0>)
tensor(3.2400, grad_fn=<DivBackward0>)
tensor(2.2996, grad_fn=<DivBackward0>)
tensor(3.3270, grad_fn=<DivBackward0>)
tensor(2.6198, grad_fn=<DivBackward0>)
tensor(3.2584, grad_fn=<DivBackward0>)
tensor(2.4820, grad_fn=<DivBackward0>)
tensor(2.8978, grad_fn=<DivBackward0>)
tensor(2.3315, grad_fn=<DivBackward0>)
tensor(3.6331, grad_fn=<DivBackward0>)
tensor(2.4607, grad_fn=<DivBackward0>)
tensor(3.0209, grad_fn=<DivBackward0>)
tensor(2.4666, grad_fn=<DivBackward0>)
tensor(2.8088, grad_fn=<DivBackward0>)
tensor(3.0277, grad_fn=<DivBackward0>)
tensor(2.4253, grad_fn=<DivBackward0>)
tensor(3.4462, grad_fn=<DivBackward0>)
tensor(2.8963, grad_fn=<DivBackward0>)
tensor(2.8779, grad_fn=<DivBackward0>)
tensor(2.7123, grad_fn=<DivBackward0>)
tensor(3.2784, grad_fn=<DivBackward0>)
tensor(2.6444, grad_fn=<DivBackward0>)
tensor(3.0513, grad_fn=<DivBackward0>)
tensor(2.4683, grad_fn=<DivBackward0>)
tensor(3.1679, grad_fn=<DivBackward0>)
tensor(2.5259, grad_fn=<DivBackward0>)
tensor(3.5095, grad_fn=<DivBackward0>)
tensor(2.3933, grad_fn=<DivBackward0>)
